MenuItemName,MenuItemDescription,PLU,MenuItemId,RecipeId
FtL/Ham                     ,Ham FtLong                                ,111000004,1,6
Six/Ham                     ,Ham 6 inch                                ,121000004,2,7
FfB/Ham                     ,Ham FtFbd                                 ,112000004,3,2
fBd/Ham                     ,Ham FlatBd                                ,122000004,4,8
Sld/Ham                     ,Ham Salad                                 ,131000004,5,9
Mni/Ham                     ,Ham Mini                                  ,161000004,6,98
FtL/B.M.T.                  ,B.M.T. FtLong                             ,111000008,7,45
Six/B.M.T.                  ,B.M.T. 6 inch                             ,121000008,8,47
FfB/B.M.T.                  ,B.M.T. FtFbd                              ,112000008,9,46
fBd/B.M.T.                  ,B.M.T. FlatBd                             ,122000008,10,48
Sld/B.M.T.                  ,B.M.T. Salad                              ,131000008,11,49
FtL/Turkey                  ,Turkey FtLong                             ,111000012,12,10
Six/Turkey                  ,Turkey 6 inch                             ,121000012,13,12
FfB/Turkey                  ,Turkey FtFbd                              ,112000012,14,11
fBd/Turkey                  ,Turkey FlatBd                             ,122000012,15,13
Sld/Turkey                  ,Turkey Salad                              ,131000012,16,14
Mni/Turkey                  ,Turkey Mini                               ,161000012,17,99
FtL/TrkyHm                  ,Turkey & Ham FtLong                       ,111000011,18,35
Six/TrkyHm                  ,Turkey & Ham 6 inch                       ,121000011,19,37
FfB/TrkyHm                  ,Turkey & Ham FtFbd                        ,112000011,20,36
fBd/TrkyHm                  ,Turkey & Ham FlatBd                       ,122000011,21,38
Sld/TrkyHm                  ,Turkey & Ham Salad                        ,131000011,22,39
FtL/BLT                     ,BLT FtLong                                ,111000007,23,60
Six/BLT                     ,BLT 6 inch                                ,121000007,24,62
FfB/BLT                     ,BLT FtFbd                                 ,112000007,25,61
fBd/BLT                     ,BLT FlatBd                                ,122000007,26,63
Sld/BLT                     ,BLT Salad                                 ,131000007,27,64
FtL/BqRib                   ,BBQ Rib FtLong                            ,111000074,28,161
Six/BqRib                   ,BBQ Rib 6 inch                            ,121000074,29,163
FfB/BqRib                   ,BBQ Rib FtFbd                             ,112000074,30,162
fBd/BqRib                   ,BBQ Rib FlatBd                            ,122000074,31,164
Sld/BqRib                   ,BBQ Rib Salad                             ,131000074,32,165
FtL/ChxTry                  ,Chicken Teriyaki FtLong                   ,111000018,33,65
Six/ChxTry                  ,Chicken Teriyaki 6 inch                   ,121000018,34,67
FfB/ChxTry                  ,Chicken Teriyaki FtFbd                    ,112000018,35,66
fBd/ChxTry                  ,Chicken Teriyaki FlatBd                   ,122000018,36,68
Sld/ChxTry                  ,Chicken Teriyaki Salad                    ,131000018,37,69
FtL/ChBcRn                  ,Chicken Bcn Ranch FtLong                  ,111000021,38,102
Six/ChBcRn                  ,Chicken Bcn Ranch 6 inch                  ,121000021,39,104
FfB/ChBcRn                  ,Chicken Bcn Ranch FtFbd                   ,112000021,40,103
fBd/ChBcRn                  ,Chicken Bcn Ranch FlatBd                  ,122000021,41,105
Sld/ChBcRn                  ,Chicken Bcn Ranch Salad                   ,131000021,42,106
FtL/CCTrio                  ,Cold Cut Combo FtLong                     ,111000005,43,107
Six/CCTrio                  ,Cold Cut Combo 6 inch                     ,121000005,44,109
FfB/CCTrio                  ,Cold Cut Combo FtFbd                      ,112000005,45,108
fBd/CCTrio                  ,Cold Cut Combo FlatBd                     ,122000005,46,110
Sld/CCTrio                  ,Cold Cut Combo Salad                      ,131000005,47,111
FtL/Club                    ,Subway Club FtLong                        ,111000017,48,50
Six/Club                    ,Subway Club 6 inch                        ,121000017,49,52
FfB/Club                    ,Subway Club FtFbd                         ,112000017,50,51
fBd/Club                    ,Subway Club FlatBd                        ,122000017,51,53
Sld/Club                    ,Subway Club Salad                         ,131000017,52,54
FtL/Melt                    ,Subway Melt FtLong                        ,111000015,53,55
Six/Melt                    ,Subway Melt 6 inch                        ,121000015,54,57
FfB/Melt                    ,Subway Melt FtFbd                         ,112000015,55,56
fBd/Melt                    ,Subway Melt FlatBd                        ,122000015,56,58
Sld/Melt                    ,Subway Melt Salad                         ,131000015,57,59
FtL/Meatbl                  ,Meatball FtLong                           ,111000003,58,93
Six/Meatbl                  ,Meatball 6 inch                           ,121000003,59,95
FfB/Meatbl                  ,Meatball FtFbd                            ,112000003,60,94
fBd/Meatbl                  ,Meatball FlatBd                           ,122000003,61,96
Sld/Meatbl                  ,Meatball Salad                            ,131000003,62,97
FtL/RstBf                   ,Roast Beef FtLong                         ,111000014,63,15
Six/RstBf                   ,Roast Beef 6 inch                         ,121000014,64,17
FfB/RstBf                   ,Roast Beef FtFbd                          ,112000014,65,16
fBd/RstBf                   ,Roast Beef FlatBd                         ,122000014,66,18
Sld/RstBf                   ,Roast Beef Salad                          ,131000014,67,19
Mni/RstBf                   ,Roast Beef Mini                           ,161000014,68,100
FtL/Spicy                   ,Spicy Italian FtLong                      ,111000002,69,40
Six/Spicy                   ,Spicy Italian 6 inch                      ,121000002,70,42
FfB/Spicy                   ,Spicy Italian FtFbd                       ,112000002,71,41
fBd/Spicy                   ,Spicy Italian FlatBd                      ,122000002,72,43
Sld/Spicy                   ,Spicy Italian Salad                       ,131000002,73,44
FtL/Tuna                    ,Tuna FtLong                               ,111000006,74,75
Six/Tuna                    ,Tuna 6 inch                               ,121000006,75,77
FfB/Tuna                    ,Tuna FtFbd                                ,112000006,76,76
fBd/Tuna                    ,Tuna FlatBd                               ,122000006,77,78
Sld/Tuna                    ,Tuna Salad                                ,131000006,78,79
Mni/Tuna                    ,Tuna Mini                                 ,161000006,79,80
FtL/RstChx                  ,Rst Chicken FtLong                        ,111000010,80,30
Six/RstChx                  ,Rst Chicken 6 inch                        ,121000010,81,32
FfB/RstChx                  ,Rst Chicken FtFbd                         ,112000010,82,31
fBd/RstChx                  ,Rst Chicken FlatBd                        ,122000010,83,33
Sld/RstChx                  ,Rst Chicken Salad                         ,131000010,84,34
FtL/Steak                   ,Steak & Chse FtLong                       ,111000050,85,25
Six/Steak                   ,Steak & Chse 6 inch                       ,121000050,86,27
FfB/Steak                   ,Steak & Chse FtFbd                        ,112000050,87,26
fBd/Steak                   ,Steak & Chse FlatBd                       ,122000050,88,28
Sld/Steak                   ,Steak & Chse Salad                        ,131000050,89,29
FtL/Veggie                  ,Veggie Delite FtLong                      ,111000001,90,20
Six/Veggie                  ,Veggie Delite 6 inch                      ,121000001,91,22
FfB/Veggie                  ,Veggie Delite FtFbd                       ,112000001,92,21
fBd/Veggie                  ,Veggie Delite FlatBd                      ,122000001,93,23
Sld/Veggie                  ,Veggie Delite Salad                       ,131000001,94,24
Mni/Veggie                  ,Veggie Delite Mini                        ,161000001,95,101
FtL/Philly                  ,Philly Chse Steak FtLong                  ,111000027,96,112
Six/Philly                  ,Philly Chse Steak 6 inch                  ,121000027,97,114
FfB/Philly                  ,Philly Chse Steak FtFbd                   ,112000027,98,113
fBd/Philly                  ,Philly Chse Steak FlatBd                  ,122000027,99,115
Sld/Philly                  ,Philly Chse Steak Salad                   ,131000027,100,116
FtL/BufChx                  ,Buffalo Chix FtLong                       ,111000044,101,117
Six/BufChx                  ,Buffalo Chix 6 inch                       ,121000044,102,119
FfB/BufChx                  ,Buffalo Chix FtFbd                        ,112000044,103,118
fBd/BufChx                  ,Buffalo Chix FlatBd                       ,122000044,104,120
Sld/BufChx                  ,Buffalo Chix Salad                        ,131000044,105,121
FtL/ChPar                   ,Chicken Parm FtLong                       ,111000073,106,171
Six/ChPar                   ,Chicken Parm 6 inch                       ,121000073,107,173
FfB/ChPar                   ,Chicken Parm FtFbd                        ,112000073,108,172
fBd/ChPar                   ,Chicken Parm FlatBd                       ,122000073,109,174
Sld/ChPar                   ,Chicken Parm Salad                        ,131000073,110,175
FtL/ChxCBl                  ,Chix Cord Bleu FtLong                     ,111000045,111,166
Six/ChxCBl                  ,Chix Cord Bleu 6 inch                     ,121000045,112,168
FfB/ChxCBl                  ,Chix Cord Bleu FtFbd                      ,112000045,113,167
fBd/ChxCBl                  ,Chix Cord Bleu FlatBd                     ,122000045,114,169
Sld/ChxCBl                  ,Chix Cord Bleu Salad                      ,131000045,115,170
FtL/ChxMar                  ,Chix Marinar FtLong                       ,111000046,116,203
Six/ChxMar                  ,Chix Marinar 6 inch                       ,121000046,117,205
FfB/ChxMar                  ,Chix Marinar FtFbd                        ,112000046,118,204
fBd/ChxMar                  ,Chix Marinar FlatBd                       ,122000046,119,206
FtL/OrChSl                  ,Orch Chix Sld FtLong                      ,111000048,120,198
Six/OrChSl                  ,Orch Chix Sld 6 inch                      ,121000048,121,200
FfB/OrChSl                  ,Orch Chix Sld FtFbd                       ,112000048,122,199
fBd/OrChSl                  ,Orch Chix Sld FlatBd                      ,122000048,123,201
Sld/OrChSl                  ,Orch Chix Sld Salad                       ,131000048,124,202
FtL/PizzaS                  ,Pizza Sub FtLong                          ,111000009,125,207
Six/PizzaS                  ,Pizza Sub 6 inch                          ,121000009,126,209
FfB/PizzaS                  ,Pizza Sub FtFbd                           ,112000009,127,208
fBd/PizzaS                  ,Pizza Sub FlatBd                          ,122000009,128,210
Sld/PizzaS                  ,Pizza Sub Salad                           ,131000009,129,211
FtL/Seafd                   ,Seafood Sensation FtLong                  ,111000016,130,212
Six/Seafd                   ,Seafood Sensation 6 inch                  ,121000016,131,214
FfB/Seafd                   ,Seafood Sensation FtFbd                   ,112000016,132,213
fBd/Seafd                   ,Seafood Sensation FlatBd                  ,122000016,133,215
Sld/Seafd                   ,Seafood Sensation Salad                   ,131000016,134,216
Mni/Seafd                   ,Seafood Sensation Mini                    ,161000016,135,217
Sld/ChxSpn                  ,Grld Chickn & Spin Salad                  ,131000028,136,197
FtL/ChxPzl                  ,Chicken Pizziola FtLong                   ,111000020,137,228
Six/ChxPzl                  ,Chicken Pizziola 6 inch                   ,121000020,138,230
FfB/ChxPzl                  ,Chicken Pizziola FtFbd                    ,112000020,139,229
fBd/ChxPzl                  ,Chicken Pizziola FlatBd                   ,122000020,140,231
Sld/ChxPzl                  ,Chicken Pizziola Salad                    ,131000020,141,232
FtL/Pastr                   ,Big Hot Pastrami FtLong                   ,111000026,142,218
Six/Pastr                   ,Big Hot Pastrami 6 inch                   ,121000026,143,220
FfB/Pastr                   ,Big Hot Pastrami FtFbd                    ,112000026,144,219
fBd/Pastr                   ,Big Hot Pastrami FlatBd                   ,122000026,145,221
Sld/Pastr                   ,Big Hot Pastrami Salad                    ,131000026,146,222
FtL/Pastra                  ,Pastrami FtLong                           ,111000039,147,223
Six/Pastra                  ,Pastrami 6 inch                           ,121000039,148,225
FfB/Pastra                  ,Pastrami FtFbd                            ,112000039,149,224
fBd/Pastra                  ,Pastrami FlatBd                           ,122000039,150,226
Sld/Pastra                  ,Pastrami Salad                            ,131000039,151,227
FtL/TkBcAv                  ,TkyBcnAvo FtLong                          ,111000054,152,233
Six/TkBcAv                  ,TkyBcnAvo 6 inch                          ,121000054,153,235
FfB/TkBcAv                  ,TkyBcnAvo FtFbd                           ,112000054,154,234
fBd/TkBcAv                  ,TkyBcnAvo FlatBd                          ,122000054,155,236
Sld/TkBcAv                  ,TkyBcnAvo Salad                           ,131000054,156,237
FtL/TkBcGu                  ,TkyBcnGuac FtLong                         ,111000052,157,238
Six/TkBcGu                  ,TkyBcnGuac 6 inch                         ,121000052,158,240
FfB/TkBcGu                  ,TkyBcnGuac FtFbd                          ,112000052,159,239
fBd/TkBcGu                  ,TkyBcnGuac FlatBd                         ,122000052,160,241
Sld/TkBcGu                  ,TkyBcnGuac Salad                          ,131000052,161,242
FtL/ChpStk                  ,Chptl Steak FtLong                        ,111000076,162,248
Six/ChpStk                  ,Chptl Steak 6 inch                        ,121000076,163,250
FfB/ChpStk                  ,Chptl Steak FtFbd                         ,112000076,164,249
fBd/ChpStk                  ,Chptl Steak FlatBd                        ,122000076,165,251
FtL/StBcnM                  ,Steak & Bacon Melt FtLong                 ,111000024,166,243
Six/StBcnM                  ,Steak & Bacon Melt 6 inch                 ,121000024,167,245
FfB/StBcnM                  ,Steak & Bacon Melt FtFbd                  ,112000024,168,244
fBd/StBcnM                  ,Steak & Bacon Melt FlatBd                 ,122000024,169,246
Sld/StBcnM                  ,Steak & Bacon Melt Salad                  ,131000024,170,247
FtL/MtbPep                  ,Meatbl Pep FtLong                         ,111000047,171,262
Six/MtbPep                  ,Meatbl Pep 6 inch                         ,121000047,172,264
FfB/MtbPep                  ,Meatbl Pep FtFbd                          ,112000047,173,263
fBd/MtbPep                  ,Meatbl Pep FlatBd                         ,122000047,174,265
Sld/MtbPep                  ,Meatbl Pep Salad                          ,131000047,175,266
FtL/MedChx                  ,MedChickn FtLong                          ,111000056,176,295
Six/MedChx                  ,MedChickn 6 inch                          ,121000056,177,297
FfB/MedChx                  ,MedChickn FtFbd                           ,112000056,178,296
fBd/MedChx                  ,MedChickn FlatBd                          ,122000056,179,298
Sld/MedChx                  ,MedChickn Salad                           ,131000056,180,299
FtL/BajaSt                  ,BajaStk FtLong                            ,111000059,181,287
Six/BajaSt                  ,BajaStk 6 inch                            ,121000059,182,289
FfB/BajaSt                  ,BajaStk FtFbd                             ,112000059,183,288
fBd/BajaSt                  ,BajaStk FlatBd                            ,122000059,184,290
Sld/BajaSt                  ,BajaStk Salad                             ,131000059,185,291
FtL/BajaCh                  ,BajaChix FtLong                           ,111000058,186,282
Six/BajaCh                  ,BajaChix 6 inch                           ,121000058,187,284
FfB/BajaCh                  ,BajaChix FtFbd                            ,112000058,188,283
fBd/BajaCh                  ,BajaChix FlatBd                           ,122000058,189,285
Sld/BajaCh                  ,BajaChix Salad                            ,131000058,190,286
FtL/ChMarP                  ,Chicken Marinara Patty FtLong             ,111000143,191,273
Six/ChMarP                  ,Chicken Marinara Patty 6 inch             ,121000143,192,275
FfB/ChMarP                  ,Chicken Marinara Patty FtFbd              ,112000143,193,274
fBd/ChMarP                  ,Chicken Marinara Patty FlatBd             ,122000143,194,276
Sld/ChMarP                  ,Chicken Marinara Patty Salad              ,131000143,195,277
FtL/ChxFng                  ,Chicken Finger FtLong                     ,111000142,196,257
Six/ChxFng                  ,Chicken Finger 6 inch                     ,121000142,197,259
FfB/ChxFng                  ,Chicken Finger FtFbd                      ,112000142,198,258
fBd/ChxFng                  ,Chicken Finger FlatBd                     ,122000142,199,260
Sld/ChxFng                  ,Chicken Finger Salad                      ,131000142,200,261
FtL/ChxSld                  ,ChicknSld FtLong                          ,111000060,201,267
Six/ChxSld                  ,ChicknSld 6 inch                          ,121000060,202,269
FfB/ChxSld                  ,ChicknSld FtFbd                           ,112000060,203,268
fBd/ChxSld                  ,ChicknSld FlatBd                          ,122000060,204,270
Sld/ChxSld                  ,ChicknSld Salad                           ,131000060,205,271
FtL/VegPty                  ,Veggie Patty FtLong                       ,111000019,206,252
Six/VegPty                  ,Veggie Patty 6 inch                       ,121000019,207,254
FfB/VegPty                  ,Veggie Patty FtFbd                        ,112000019,208,253
fBd/VegPty                  ,Veggie Patty FlatBd                       ,122000019,209,255
Sld/VegPty                  ,Veggie Patty Salad                        ,131000019,210,256
FbK/BcnEgg                  ,Bacon Egg & Cheese Ftbk                   ,113000030,211,146
6Bk/BcnEgg                  ,Bacon Egg & Cheese SixBkf                 ,123000030,212,148
Bkf/BcnEgg                  ,Bacon Egg & Cheese FtbkFb                 ,114000030,213,147
6Bf/BcnEgg                  ,Bacon Egg & Cheese 6BkfFb                 ,124000030,214,149
Mlt/BcnEgg                  ,Bacon Egg & Cheese EngMf                  ,141000030,215,150
BsM/BcnEgg                  ,Bacon Egg & Cheese BscMlt                 ,164200030,216,180
CrM/BcnEgg                  ,Bacon Egg & Cheese CrsMlt                 ,164100030,217,179
3Bf/BcnEgg                  ,Bacon Egg & Cheese 3BkfFb                 ,194000030,218,181
FbK/EggChs                  ,Egg & Cheese Ftbk                         ,113000032,219,127
6Bk/EggChs                  ,Egg & Cheese SixBkf                       ,123000032,220,129
Bkf/EggChs                  ,Egg & Cheese FtbkFb                       ,114000032,221,128
6Bf/EggChs                  ,Egg & Cheese 6BkfFb                       ,124000032,222,130
Mlt/EggChs                  ,Egg & Cheese EngMf                        ,141000032,223,131
CrM/EggChs                  ,Egg & Cheese CrsMlt                       ,164100032,224,178
BsM/EggChs                  ,Egg & Cheese BscMlt                       ,164200032,225,176
3Bf/EggChs                  ,Egg & Cheese 3BkfFb                       ,194000032,226,177
FbK/StkEgg                  ,"Stk, Egg & Chs Ftbk                       ",113000031,227,137
6Bk/StkEgg                  ,"Stk, Egg & Chs SixBkf                     ",123000031,228,139
Bkf/StkEgg                  ,"Stk, Egg & Chs FtbkFb                     ",114000031,229,138
6Bf/StkEgg                  ,"Stk, Egg & Chs 6BkfFb                     ",124000031,230,140
Mlt/StkEgg                  ,"Stk, Egg & Chs EngMf                      ",141000031,231,145
CrM/StkEgg                  ,"Stk, Egg & Chs CrsMlt                     ",164100031,232,185
BsM/StkEgg                  ,"Stk, Egg & Chs BscMlt                     ",164200031,233,186
3Bf/StkEgg                  ,"Stk, Egg & Chs 3BkfFb                     ",194000031,234,187
FbK/SsgEgg                  ,Sausage & Egg Ftbk                        ,113000034,235,151
6Bk/SsgEgg                  ,Sausage & Egg SixBkf                      ,123000034,236,153
Bkf/SsgEgg                  ,Sausage & Egg FtbkFb                      ,114000034,237,152
6Bf/SsgEgg                  ,Sausage & Egg 6BkfFb                      ,124000034,238,154
Mlt/SsgEgg                  ,Sausage & Egg EngMf                       ,141000034,239,155
CrM/SsgEgg                  ,Sausage & Egg CrsMlt                      ,164100034,240,191
BsM/SsgEgg                  ,Sausage & Egg BscMlt                      ,164200034,241,192
3Bf/SsgEgg                  ,Sausage & Egg 3BkfFb                      ,194000034,242,193
FbK/BkfBMT                  ,Bkfst BMT Ftbk                            ,113000068,243,132
6Bk/BkfBMT                  ,Bkfst BMT SixBkf                          ,123000068,244,134
Bkf/BkfBMT                  ,Bkfst BMT FtbkFb                          ,114000068,245,133
6Bf/BkfBMT                  ,Bkfst BMT 6BkfFb                          ,124000068,246,135
Mlt/BkfBMT                  ,Bkfst BMT EngMf                           ,141000068,247,136
CrM/BkfBMT                  ,Bkfst BMT CrsMlt                          ,164100068,248,182
BsM/BkfBMT                  ,Bkfst BMT BscMlt                          ,164200068,249,183
3Bf/BkfBMT                  ,Bkfst BMT 3BkfFb                          ,194000068,250,184
FbK/Mega                    ,Mega Omlet Ftbk                           ,113000051,251,156
6Bk/Mega                    ,Mega Omlet SixBkf                         ,123000051,252,158
Bkf/Mega                    ,Mega Omlet FtbkFb                         ,114000051,253,157
6Bf/Mega                    ,Mega Omlet 6BkfFb                         ,124000051,254,159
Mlt/Mega                    ,Mega Omlet EngMf                          ,141000051,255,160
CrM/Mega                    ,Mega Omlet CrsMlt                         ,164100051,256,194
BsM/Mega                    ,Mega Omlet BscMlt                         ,164200051,257,195
3Bf/Mega                    ,Mega Omlet 3BkfFb                         ,194000051,258,196
FbK/SunOme                  ,Sunrise Omlt Ftbk                         ,113000067,259,122
6Bk/SunOme                  ,Sunrise Omlt SixBkf                       ,123000067,260,124
Bkf/SunOme                  ,Sunrise Omlt FtbkFb                       ,114000067,261,123
6Bf/SunOme                  ,Sunrise Omlt 6BkfFb                       ,124000067,262,125
Mlt/SunOme                  ,Sunrise Omlt EngMf                        ,141000067,263,126
CrM/SunOme                  ,Sunrise Omlt CrsMlt                       ,164100067,264,188
BsM/SunOme                  ,Sunrise Omlt BscMlt                       ,164200067,265,189
3Bf/SunOme                  ,Sunrise Omlt 3BkfFb                       ,194000067,266,190
Piz/BcPiza                  ,Bacon Pizza                               ,151000125,267,293
Piz/ChPiza                  ,Cheese Pizza                              ,151000120,268,278
Piz/MbPiza                  ,Meatball Pizza                            ,151000121,269,292
Piz/Pproni                  ,Pepperoni Pizza DELETE                    ,151000040,270,279
Piz/SgPiza                  ,Sausage Pizza                             ,151000122,271,280
Piz/VgPiza                  ,Veggie Pizza                              ,151000123,272,281
Soup10Soup                  ,10oz Soup                                 ,331000118,273,272
Sid/HshBrn                  ,Hash Browns                               ,341000105,274,294
Sid/Apples                  ,Apples                                    ,341000102,275,301
Coo/Cookie                  ,Cookie                                    ,321000101,276,300
Chp/Chips                   ,Chips                                     ,311000100,277,302
Btl/BtJuce                  ,Bottled Juice                             ,221000135,278,304
Btl/BtCDrk                  ,Bottled Carbonated Drink                  ,221000133,279,303
21oz21CDrk                  ,21oz Fountain Drink                       ,212000126,280,305
30oz30CDrk                  ,30oz Fountain Drink                       ,215000145,281,306
BxL/Ham                     ,Ham BoxLn                                 ,186000004,282,307
BxL/B.M.T.                  ,B.M.T. BoxLn                              ,186000008,283,308
BxL/Club                    ,Subway Club BoxLn                         ,186000017,284,309
BxL/Tuna                    ,Tuna BoxLn                                ,186000006,285,310
BxL/RstBf                   ,Roast Beef BoxLn                          ,186000014,286,311
BxL/Turkey                  ,Turkey BoxLn                              ,186000012,287,312
BxL/TrkyHm                  ,Turkey & Ham BoxLn                        ,186000011,288,313
BxL/CCTrio                  ,Cold Cut Combo BoxLn                      ,186000005,289,314
FtL/Angus                   ,AngusStk FtLong                           ,111000055,290,315
FfB/Angus                   ,AngusStk FtFbd                            ,112000055,291,316
Six/Angus                   ,AngusStk 6 inch                           ,121000055,292,317
fBd/Angus                   ,AngusStk FlatBd                           ,122000055,293,318
Sld/Angus                   ,AngusStk Salad                            ,131000055,294,319
BxL/OrChSl                  ,Orch Chix Sld BoxLn                       ,186000048,295,320
BxL/ChxSld                  ,ChicknSld BoxLn                           ,186000060,296,321
BxL/Seafd                   ,Seafood Sensation BoxLn                   ,186000016,297,322
FtL/ChpChx                  ,Chptl Chicken FtLong                      ,111000075,298,323
FfB/ChpChx                  ,Chptl Chicken FtFbd                       ,112000075,299,324
Six/ChpChx                  ,Chptl Chicken 6 inch                      ,121000075,300,325
fBd/ChpChx                  ,Chptl Chicken FlatBd                      ,122000075,301,326
Sld/ChpChx                  ,Chptl Chicken Salad                       ,131000075,302,327
21oz21NDrk                  ,21oz Non-Carbonated Ftn                   ,212000131,303,328
FtL/Tuscan                  ,Tuscan Chickn FtLong                      ,111000042,304,329
FfB/Tuscan                  ,Tuscan Chickn FtFbd                       ,112000042,305,330
Six/Tuscan                  ,Tuscan Chickn 6 inch                      ,121000042,306,331
fBd/Tuscan                  ,Tuscan Chickn FlatBd                      ,122000042,307,332
Sld/Tuscan                  ,Tuscan Chickn Salad                       ,131000042,308,333
FbK/StkEgAv                 ,StkEgChAvo Ftbk                           ,113000149,309,334
Bkf/StkEgAv                 ,StkEgChAvo FtbkFb                         ,114000149,310,335
6Bk/StkEgAv                 ,StkEgChAvo SixBkf                         ,123000149,311,336
6Bf/StkEgAv                 ,StkEgChAvo 6BkfFb                         ,124000149,312,337
Mlt/StkEgAv                 ,StkEgChAvo EngMf                          ,141000149,313,338
CrM/StkEgAv                 ,StkEgChAvo CrsMlt                         ,164100149,314,339
BsM/StkEgAv                 ,StkEgChAvo BscMlt                         ,164200149,315,340
3Bf/StkEgAv                 ,StkEgChAvo 3BkfFb                         ,194000149,316,341
30oz30NDrk                  ,30oz Non-Carbonated Ftn                   ,215000144,317,342
40oz40NDrk                  ,40oz Non-Carbonated Ftn                   ,216000147,318,343
40oz40CDrk                  ,40oz Fountain Drink                       ,216000146,319,344
FtL/TkBFAv                  ,Tky Bcn F Avo FtLong                      ,111000065,320,345
FfB/TkBFAv                  ,Tky Bcn F Avo FtFbd                       ,112000065,321,346
Six/TkBFAv                  ,Tky Bcn F Avo 6 inch                      ,121000065,322,347
fBd/TkBFAv                  ,Tky Bcn F Avo FlatBd                      ,122000065,323,348
Sld/TkBFAv                  ,Tky Bcn F Avo Salad                       ,131000065,324,349
BxL/TkBFAv                  ,Tky Bcn F Avo BoxLn                       ,186000065,325,350
FtL/ChxStr                  ,Chickn Strips FtLong                      ,111000041,326,358
Six/ChxStr                  ,Chickn Strips 6 inch                      ,121000041,327,360
FfB/ChxStr                  ,Chickn Strips FtFbd                       ,112000041,328,359
fBd/ChxStr                  ,Chickn Strips FlatBd                      ,122000041,329,361
Sld/ChxStr                  ,Chickn Strips Salad                       ,131000041,330,362
FbK/StEgAvF                 ,StEgChAvoF Ftbk                           ,113000150,331,351
6Bk/StEgAvF                 ,StEgChAvoF SixBkf                         ,123000150,332,353
Bkf/StEgAvF                 ,StEgChAvoF FtbkFb                         ,114000150,333,352
6Bf/StEgAvF                 ,StEgChAvoF 6BkfFb                         ,124000150,334,354
3Bf/StEgAvF                 ,StEgChAvoF 3BkfFb                         ,194000150,335,357
BsM/StEgAvF                 ,StEgChAvoF BscMlt                         ,164200150,336,356
CrM/StEgAvF                 ,StEgChAvoF CrsMlt                         ,164100150,337,355
PstrBrowni                  ,Brownie                                   ,342000104,338,462
Coo/Cooki2                  ,2 Cookies                                 ,321000077,339,464
Coo/Cooki3                  ,3 Cookies                                 ,321000177,340,465
Coo/Cooki6                  ,6 Cookies                                 ,321000178,341,466
PstrMuffin                  ,Muffin                                    ,342000108,342,467
BxL/ChxStr                  ,Chickn Strips BoxLn                       ,186000041,343,363
Feast                       ,The Feast                                 ,111000025,344,364
BxL/Angus                   ,AngusStk BoxLn                            ,186000055,345,365
BxL/RstChx                  ,Rst Chicken BoxLn                         ,186000010,346,366
Bsc/BscGry                  ,Biscuit & Gravy                           ,165100148,347,367
FtL/Salami                  ,Salami FtLong                             ,111000038,348,368
FfB/Salami                  ,Salami FtFbd                              ,112000038,349,369
Six/Salami                  ,Salami 6 inch                             ,121000038,350,370
fBd/Salami                  ,Salami FlatBd                             ,122000038,351,371
Sld/Salami                  ,Salami Salad                              ,131000038,352,372
Mni/Salami                  ,Salami Mini                               ,161000038,353,373
BxL/Salami                  ,Salami BoxLn                              ,186000038,354,374
FtL/Pproni                  ,Pepperoni FtLong                          ,111000040,355,375
FfB/Pproni                  ,Pepperoni FtFbd                           ,112000040,356,376
Six/Pproni                  ,Pepperoni 6 inch                          ,121000040,357,377
fBd/Pproni                  ,Pepperoni FlatBd                          ,122000040,358,378
Sld/Pproni                  ,Pepperoni Salad                           ,131000040,359,379
Mni/Pproni                  ,Pepperoni Mini                            ,161000040,360,380
BxL/Pproni                  ,Pepperoni BoxLn                           ,186000040,361,381
DELETE+ad/Bacon             ,Add Bacon AddFt                           ,174000139,362,382
DELETE+ad/AddBcn            ,Add Bacon Add6in                          ,175000139,363,383
Btl/Milk                    ,Milk                                      ,221000137,364,384
Btl/BtWatr                  ,Bottled Water                             ,221000134,365,385
BBfCkn                      ,Big Buffalo Chicken                       ,111000159,366,386
FfB/BBfCkn                  ,Big Buffalo Chicken FtFbd                 ,112000159,367,387
Six/BBfCkn                  ,Big Buffalo Chicken 6 inch                ,121000159,368,388
fBd/BBfCkn                  ,Big Buffalo Chicken FlatBd                ,122000159,369,389
Sld/BBfCkn                  ,Big Buffalo Chicken Salad                 ,131000159,370,390
FtL/CkBLTR                  ,Chicken B.L.T. Ranch FtLong               ,111000161,371,391
FfB/CkBLTR                  ,Chicken B.L.T. Ranch FtFbd                ,112000161,372,392
Six/CkBLTR                  ,Chicken B.L.T. Ranch 6 inch               ,121000161,373,393
fBd/CkBLTR                  ,Chicken B.L.T. Ranch FlatBd               ,122000161,374,394
Sld/CkBLTR                  ,Chicken B.L.T. Ranch Salad                ,131000161,375,395
FtL/Cheese                  ,Cheese FtLong                             ,111000037,376,396
FfB/Cheese                  ,Cheese FtFbd                              ,112000037,377,397
Six/Cheese                  ,Cheese 6 inch                             ,121000037,378,398
fBd/Cheese                  ,Cheese FlatBd                             ,122000037,379,399
Sld/Cheese                  ,Cheese Salad                              ,131000037,380,400
BxL/Cheese                  ,Cheese BoxLn                              ,186000037,381,401
FtL/ChBBBQ                  ,Chickn Bcn BBQ FtLong                     ,111000043,382,402
FfB/ChBBBQ                  ,Chickn Bcn BBQ FtFbd                      ,112000043,383,403
